step,ros_time,d0,d1,d2,d3,d4,d5,p0,p1,p2,p3,p4,p5
127,1763450781.194858,0.747200,-1.767100,-1.894400,-1.098100,1.650000,-0.852400,0.924541,-1.461617,-2.223843,-1.044712,1.645561,-0.642665
128,1763450781.247263,0.743200,-1.772700,-1.887600,-1.099000,1.648300,-0.855700,0.924418,-1.461710,-2.223756,-1.044747,1.645574,-0.642820
129,1763450781.289466,0.739200,-1.778200,-1.880800,-1.100100,1.647300,-0.859300,0.924282,-1.461789,-2.223670,-1.044778,1.645593,-0.642993
130,1763450781.340154,0.735300,-1.783600,-1.874200,-1.101000,1.646700,-0.862000,0.924144,-1.461866,-2.223586,-1.044817,1.645608,-0.643184
131,1763450781.384809,0.731500,-1.788900,-1.867500,-1.101900,1.646400,-0.865200,0.923979,-1.461954,-2.223487,-1.044860,1.645620,-0.643383
132,1763450781.439187,0.727900,-1.794000,-1.861100,-1.103000,1.646500,-0.867700,0.923793,-1.462030,-2.223391,-1.044911,1.645631,-0.643594
133,1763450781.486341,0.724400,-1.798900,-1.854900,-1.104300,1.647000,-0.870800,0.923635,-1.462108,-2.223295,-1.044955,1.645641,-0.643751
134,1763450781.534219,0.721200,-1.803400,-1.848900,-1.106600,1.649300,-0.870300,0.923443,-1.462184,-2.223203,-1.045005,1.645655,-0.643970
135,1763450781.579909,0.718000,-1.807900,-1.843000,-1.107900,1.650300,-0.873300,0.923279,-1.462273,-2.223094,-1.045050,1.645669,-0.644138
136,1763450781.627451,0.714800,-1.812500,-1.837800,-1.107500,1.648300,-0.876000,0.923136,-1.462366,-2.222985,-1.045088,1.645680,-0.644281
137,1763450781.672528,0.711900,-1.816500,-1.831900,-1.109700,1.649300,-0.878200,0.922994,-1.462441,-2.222881,-1.045126,1.645694,-0.644428
138,1763450781.723395,0.709100,-1.820400,-1.827200,-1.110300,1.648500,-0.881800,0.922834,-1.462552,-2.222745,-1.045171,1.645703,-0.644570
139,1763450781.766881,0.706600,-1.824000,-1.822300,-1.111900,1.649100,-0.883600,0.922651,-1.462612,-2.222653,-1.045219,1.645716,-0.644766
140,1763450781.820874,0.704200,-1.827500,-1.818300,-1.111800,1.646800,-0.886700,0.922467,-1.462704,-2.222535,-1.045276,1.645721,-0.644935
141,1763450781.868123,0.701900,-1.830700,-1.813500,-1.113500,1.647500,-0.888700,0.922292,-1.462815,-2.222410,-1.045329,1.645727,-0.645105
142,1763450781.915689,0.699900,-1.833600,-1.809800,-1.114800,1.649400,-0.888500,0.922144,-1.462924,-2.222283,-1.045374,1.645734,-0.645203
143,1763450781.959718,0.698000,-1.836300,-1.806400,-1.114900,1.647600,-0.893500,0.921985,-1.463033,-2.222163,-1.045424,1.645738,-0.645344
144,1763450782.010687,0.696100,-1.838900,-1.803600,-1.114700,1.645100,-0.898100,0.921830,-1.463129,-2.222048,-1.045475,1.645743,-0.645457
145,1763450782.053437,0.694300,-1.841400,-1.800500,-1.114600,1.642600,-0.902100,0.921691,-1.463226,-2.221954,-1.045517,1.645748,-0.645591
146,1763450782.107588,0.692600,-1.844100,-1.797200,-1.114500,1.640800,-0.905200,0.921565,-1.463320,-2.221857,-1.045559,1.645750,-0.645699
147,1763450782.152686,0.690700,-1.847000,-1.793600,-1.114800,1.639400,-0.907800,0.921466,-1.463381,-2.221797,-1.045591,1.645750,-0.645774
148,1763450782.202381,0.688800,-1.850000,-1.789800,-1.114900,1.638100,-0.910000,0.921363,-1.463456,-2.221737,-1.045624,1.645752,-0.645870
149,1763450782.247766,0.686800,-1.853200,-1.785900,-1.114800,1.637000,-0.912200,0.921264,-1.463504,-2.221684,-1.045663,1.645750,-0.645963
150,1763450782.300759,0.684900,-1.856400,-1.781800,-1.114800,1.636100,-0.913900,0.921166,-1.463577,-2.221612,-1.045702,1.645744,-0.646051
151,1763450782.346144,0.683000,-1.859500,-1.778000,-1.114800,1.635300,-0.915800,0.921127,-1.463626,-2.221565,-1.045727,1.645741,-0.646062
152,1763450782.395480,0.681200,-1.862500,-1.774100,-1.115100,1.634600,-0.917800,0.921076,-1.463686,-2.221503,-1.045751,1.645734,-0.646085
153,1763450782.441434,0.679400,-1.865400,-1.770400,-1.115300,1.634000,-0.919800,0.921043,-1.463742,-2.221447,-1.045770,1.645733,-0.646088
154,1763450782.489169,0.677800,-1.868100,-1.766800,-1.115900,1.633600,-0.921400,0.921023,-1.463797,-2.221398,-1.045790,1.645725,-0.646078
155,1763450782.535175,0.676200,-1.870700,-1.763500,-1.116000,1.633200,-0.923200,0.920973,-1.463849,-2.221352,-1.045812,1.645720,-0.646110
156,1763450782.584492,0.674800,-1.873300,-1.760400,-1.115700,1.632500,-0.924900,0.920930,-1.463893,-2.221296,-1.045835,1.645715,-0.646131
157,1763450782.628237,0.673300,-1.875900,-1.757400,-1.115300,1.632000,-0.926300,0.920917,-1.463948,-2.221252,-1.045849,1.645703,-0.646134
158,1763450782.682017,0.671900,-1.878300,-1.754400,-1.115300,1.631600,-0.927600,0.920899,-1.463985,-2.221212,-1.045864,1.645693,-0.646133
159,1763450782.723053,0.670500,-1.880900,-1.751300,-1.115600,1.631300,-0.929000,0.920905,-1.464019,-2.221191,-1.045875,1.645681,-0.646113
160,1763450782.778307,0.669100,-1.883100,-1.748500,-1.116200,1.631200,-0.930800,0.920900,-1.464034,-2.221181,-1.045885,1.645671,-0.646087
161,1763450782.821666,0.667600,-1.885500,-1.745400,-1.116800,1.630800,-0.934100,0.920892,-1.464065,-2.221147,-1.045898,1.645659,-0.646051
162,1763450782.876545,0.665900,-1.888400,-1.741800,-1.117700,1.630600,-0.937900,0.920868,-1.464076,-2.221134,-1.045910,1.645651,-0.646075
163,1763450782.920434,0.664100,-1.891500,-1.737900,-1.119500,1.631000,-0.941000,0.920836,-1.464075,-2.221130,-1.045928,1.645644,-0.646065
164,1763450782.970613,0.662400,-1.894400,-1.733900,-1.121400,1.631300,-0.943300,0.920809,-1.464092,-2.221108,-1.045942,1.645633,-0.646067
165,1763450783.015619,0.660900,-1.896900,-1.730400,-1.123100,1.631600,-0.945900,0.920803,-1.464110,-2.221087,-1.045952,1.645624,-0.646047
166,1763450783.065808,0.659800,-1.898600,-1.727700,-1.124500,1.631900,-0.948000,0.920794,-1.464110,-2.221076,-1.045964,1.645615,-0.646050
167,1763450783.110420,0.659000,-1.899800,-1.725900,-1.124700,1.631800,-0.949500,0.920793,-1.464120,-2.221058,-1.045971,1.645606,-0.646018
168,1763450783.159333,0.658400,-1.900900,-1.724500,-1.124100,1.631500,-0.950600,0.920804,-1.464121,-2.221033,-1.045976,1.645601,-0.645966
169,1763450783.203476,0.658000,-1.901400,-1.723700,-1.123700,1.631400,-0.951400,0.920797,-1.464152,-2.220995,-1.045985,1.645596,-0.645935
170,1763450783.257802,0.657700,-1.901800,-1.723200,-1.123400,1.631300,-0.952000,0.920792,-1.464169,-2.220962,-1.045990,1.645593,-0.645892
171,1763450783.300428,0.657400,-1.902100,-1.722800,-1.123400,1.631300,-0.952400,0.920837,-1.464241,-2.220901,-1.045991,1.645588,-0.645785
172,1763450783.353748,0.657300,-1.902400,-1.722600,-1.123400,1.631300,-0.952600,0.920878,-1.464308,-2.220845,-1.045989,1.645585,-0.645684
173,1763450783.398212,0.657200,-1.902500,-1.722400,-1.123400,1.631400,-0.952800,0.920913,-1.464381,-2.220776,-1.045987,1.645583,-0.645563
